지역명,연도,월,평당분양가격
전북,2019,11,8144.4
전남,2019,11,8292.9
경북,2019,11,9616.2
경남,2019,11,10563.3
제주,2019,11,12810.6
서울,2019,12,26251.5
인천,2019,12,13206.6
경기,2019,12,14826.9
부산,2019,12,12817.2
대구,2019,12,14427.6
광주,2019,12,12652.2
대전,2019,12,11985.6
울산,2019,12,10371.9
세종,2019,12,11411.4
강원,2019,12,8283.0
충북,2019,12,7606.5
충남,2019,12,8712.0
전북,2019,12,8144.4
전남,2019,12,8091.599999999999
경북,2019,12,9616.2
경남,2019,12,10107.9
제주,2019,12,12810.6
서울,2020,1,26799.3
인천,2020,1,13216.5
경기,2020,1,14859.9
부산,2020,1,12817.2
대구,2020,1,14586.0
광주,2020,1,12681.9
대전,2020,1,11985.6
울산,2020,1,10371.9
세종,2020,1,11411.4
강원,2020,1,8207.1
충북,2020,1,7606.5
충남,2020,1,8712.0
전북,2020,1,8144.4
전남,2020,1,8200.5
경북,2020,1,10144.2
경남,2020,1,10107.9
제주,2020,1,13051.5
서울,2020,2,26307.6
인천,2020,2,13477.2
경기,2020,2,14856.6
부산,2020,2,12949.2
대구,2020,2,14586.0
광주,2020,2,12681.9
대전,2020,2,11985.6
울산,2020,2,10371.9
세종,2020,2,11411.4
강원,2020,2,8325.9
충북,2020,2,7903.5
충남,2020,2,8593.199999999999
전북,2020,2,8144.4
전남,2020,2,8269.8
경북,2020,2,8431.5
경남,2020,2,10107.9
제주,2020,2,13051.5
서울,2020,3,26495.7
인천,2020,3,14058.0
경기,2020,3,14770.8
부산,2020,3,13035.0
대구,2020,3,14843.4
광주,2020,3,12681.9
대전,2020,3,11226.6
울산,2020,3,10371.9
세종,2020,3,11411.4
강원,2020,3,8144.4
충북,2020,3,7920.0
충남,2020,3,8606.4
전북,2020,3,8144.4
전남,2020,3,8500.8
경북,2020,3,8431.5
경남,2020,3,9794.4
제주,2020,3,13051.5
서울,2020,4,26367.0
인천,2020,4,14067.9
경기,2020,4,15057.9
부산,2020,4,12896.4
대구,2020,4,15100.8
광주,2020,4,12685.2
대전,2020,4,11074.8
울산,2020,4,10371.9
세종,2020,4,
강원,2020,4,8708.699999999999
충북,2020,4,7920.0
충남,2020,4,8708.699999999999
전북,2020,4,8259.9
전남,2020,4,8550.3
경북,2020,4,8807.699999999999
경남,2020,4,10404.9
제주,2020,4,13480.5
서울,2020,5,27030.3
인천,2020,5,14338.5
경기,2020,5,13942.5
부산,2020,5,13272.6
대구,2020,5,15335.1
광주,2020,5,12648.9
대전,2020,5,11008.8
울산,2020,5,10969.2
세종,2020,5,
강원,2020,5,8784.6
충북,2020,5,7936.5
충남,2020,5,8735.1
전북,2020,5,8184.0
전남,2020,5,8576.699999999999
경북,2020,5,8807.699999999999
경남,2020,5,9969.3
제주,2020,5,14902.8
서울,2020,6,27558.3
인천,2020,6,14661.9
경기,2020,6,13586.1
부산,2020,6,13272.6
대구,2020,6,15173.4
광주,2020,6,12599.4
대전,2020,6,11246.4
울산,2020,6,12371.7
세종,2020,6,
강원,2020,6,9084.9
충북,2020,6,7949.7
충남,2020,6,8847.3
전북,2020,6,8259.9
전남,2020,6,8566.8
경북,2020,6,8807.699999999999
경남,2020,6,10329.0
제주,2020,6,14922.6
서울,2020,7,26763.0
인천,2020,7,14635.5
경기,2020,7,14322.0
부산,2020,7,13467.3
대구,2020,7,15312.0
광주,2020,7,12688.5
대전,2020,7,11051.7
울산,2020,7,12790.8
세종,2020,7,
강원,2020,7,9457.8
충북,2020,7,7949.7
충남,2020,7,8936.4
전북,2020,7,8190.599999999999
전남,2020,7,8553.6
경북,2020,7,9744.9
경남,2020,7,10276.2
제주,2020,7,15338.4
서울,2020,8,26723.4
인천,2020,8,15318.6
경기,2020,8,13972.2
부산,2020,8,13266.0
대구,2020,8,15292.2
광주,2020,8,12190.2
대전,2020,8,10982.4
울산,2020,8,13645.5
세종,2020,8,
강원,2020,8,9867.0
충북,2020,8,7929.9
충남,2020,8,8946.3
전북,2020,8,8190.599999999999
전남,2020,8,8873.699999999999
경북,2020,8,10216.8
경남,2020,8,10276.2
제주,2020,8,15338.4
서울,2020,9,26776.2
인천,2020,9,15318.6
경기,2020,9,14097.6
부산,2020,9,13266.0
대구,2020,9,15325.2
광주,2020,9,12282.6
대전,2020,9,10827.3
울산,2020,9,13734.6
세종,2020,9,
강원,2020,9,10322.4
충북,2020,9,7900.2
충남,2020,9,9015.6
전북,2020,9,8309.4
전남,2020,9,8853.9
경북,2020,9,10216.8
경남,2020,9,10276.2
제주,2020,9,15338.4
서울,2020,10,26660.7
인천,2020,10,15576.0
경기,2020,10,14341.8
부산,2020,10,13114.2
대구,2020,10,15404.4
광주,2020,10,12282.6
대전,2020,10,10579.8
울산,2020,10,13803.9
세종,2020,10,11299.2
강원,2020,10,10322.4
충북,2020,10,7893.599999999999
충남,2020,10,8880.3
전북,2020,10,8487.6
전남,2020,10,8969.4
경북,2020,10,10114.5
경남,2020,10,10253.1
제주,2020,10,15338.4
서울,2020,11,27172.2
인천,2020,11,15737.7
경기,2020,11,14318.7
