지역명,전용면적,연도,월,평당분양가격
강원,60m²,2022,5,10979.1
충남,102m²~,2021,5,10728.3
세종,85m²~102m²,2023,1,
세종,60m²,2020,5,
경남,85m²~102m²,2024,8,
경북,60m²,2022,2,10444.5
충북,모든면적,2022,7,9906.6
전남,102m²~,2019,2,9527.1
전북,85m²~102m²,2021,8,10692.0
전북,60m²,2019,7,7748.4
광주,60m²~85m²,2018,10,10048.5
인천,60m²,2018,11,11342.1
광주,85m²~102m²,2024,1,14279.1
강원,60m²~85m²,2021,10,9484.2
광주,102m²~,2021,10,15404.4
충북,85m²~102m²,2020,12,8929.8
인천,60m²~85m²,2017,3,10484.1
충남,60m²,2020,1,7860.599999999999
충남,60m²,2017,5,7679.099999999999
인천,60m²~85m²,2024,4,18206.1
강원,모든면적,2024,3,14642.1
대구,모든면적,2022,6,16427.399999999998
세종,85m²~102m²,2023,12,
경북,60m²~85m²,2021,4,10170.6
경남,60m²~85m²,2019,4,9306.0
서울,60m²,2023,3,31320.3
강원,모든면적,2021,2,10401.6
대구,모든면적,2016,6,10342.2
제주,60m²~85m²,2020,9,15378.0
강원,60m²,2020,2,8448.0
울산,102m²~,2017,4,10352.1
전남,60m²,2017,2,6791.4
경남,85m²~102m²,2019,1,10470.9
충북,102m²~,2017,2,7781.4
울산,102m²~,2023,5,17044.5
전북,85m²~102m²,2024,1,
경남,60m²~85m²,2017,7,8085.0
충북,85m²~102m²,2016,6,7510.799999999999
제주,60m²,2018,7,
경북,60m²~85m²,2023,9,13242.9
광주,모든면적,2017,3,9183.9
서울,60m²~85m²,2018,7,22803.0
부산,85m²~102m²,2019,1,13417.8
충북,모든면적,2018,3,8101.5
세종,60m²~85m²,2023,3,12266.1
전북,102m²~,2017,8,7527.299999999999
충북,60m²,2024,8,13685.1
전남,102m²~,2024,4,15087.6
충남,모든면적,2018,4,7900.2
광주,60m²,2024,2,20268.6
대구,모든면적,2022,9,16764.0
충북,60m²,2015,12,6405.299999999999
전북,102m²~,2019,11,8801.1
강원,60m²~85m²,2017,9,7342.5
경기,85m²~102m²,2022,3,15757.5
대전,60m²,2019,4,
대구,모든면적,2021,12,16008.3
대전,85m²~102m²,2022,3,
광주,60m²,2024,6,
울산,85m²~102m²,2017,1,
광주,60m²,2022,3,12843.6
광주,102m²~,2018,4,8094.9
전남,60m²~85m²,2018,12,7857.299999999999
인천,60m²~85m²,2023,6,16011.6
강원,모든면적,2023,1,12688.5
경남,102m²~,2021,1,10447.8
세종,모든면적,2016,3,8811.0
대구,85m²~102m²,2017,12,
전북,모든면적,2018,11,7731.9
제주,모든면적,2023,6,24175.8
대구,102m²~,2016,7,9051.9
부산,60m²~85m²,2017,11,12467.4
경북,모든면적,2021,8,10602.9
대구,60m²,2018,11,12566.4
광주,모든면적,2020,11,12358.5
광주,60m²~85m²,2023,7,17846.399999999998
전남,60m²,2019,5,7395.299999999999
대전,60m²~85m²,2019,7,11441.1
세종,60m²,2023,7,12289.2
전남,85m²~102m²,2019,1,7712.099999999999
대전,60m²,2022,9,14859.9
전북,102m²~,2018,4,9220.2
경기,60m²~85m²,2020,9,14407.8
대구,60m²,2018,1,11619.3
세종,60m²~85m²,2024,7,
제주,85m²~102m²,2020,2,
강원,102m²~,2024,2,17476.8
강원,60m²,2020,11,11850.3
부산,60m²,2022,4,16328.4
강원,102m²~,2016,1,7164.299999999999
광주,모든면적,2019,12,12652.2
경남,60m²,2023,11,12800.7
부산,102m²~,2023,2,16024.8
서울,85m²~102m²,2017,11,24126.3
광주,60m²~85m²,2022,10,15539.7
전남,102m²~,2018,7,8147.7
충북,모든면적,2021,10,8731.8
광주,60m²~85m²,2018,9,9672.3
경남,60m²,2021,12,10302.6
울산,60m²,2016,10,8438.1
세종,60m²,2024,5,
경기,모든면적,2017,8,12015.3
인천,모든면적,2016,9,10454.4
서울,모든면적,2022,4,32244.3
인천,85m²~102m²,2019,8,12450.9
제주,102m²~,2020,8,
제주,85m²~102m²,2016,6,10253.1
인천,60m²~85m²,2018,1,10969.2
울산,85m²~102m²,2022,6,17602.2
경기,60m²~85m²,2018,5,13180.2
세종,60m²,2015,12,8583.3
충남,85m²~102m²,2017,6,9777.9
충남,102m²~,2020,3,9355.5
세종,85m²~102m²,2019,5,11583.0
대전,85m²~102m²,2020,9,
대구,60m²,2017,6,11731.5
전북,102m²~,2021,1,8596.5
경남,85m²~102m²,2018,2,9616.2
충북,60m²~85m²,2024,7,13011.9
부산,102m²~,2021,4,13025.1
충북,60m²,2023,1,10949.4
전북,60m²~85m²,2023,11,11517.0
서울,102m²~,2018,6,22786.5
전북,60m²~85m²,2020,8,8259.9
경남,85m²~102m²,2018,8,9428.1
경북,모든면적,2016,11,7570.2
인천,모든면적,2022,11,16641.899999999998
광주,모든면적,2023,7,18146.7
인천,85m²~102m²,2018,2,11477.4
광주,60m²~85m²,2019,9,12276.0
충남,60m²~85m²,2017,3,7388.7
강원,60m²~85m²,2017,6,7012.5
경기,60m²,2023,4,20288.4
광주,60m²,2021,1,11619.3
대전,85m²~102m²,2020,6,
세종,60m²,2022,9,10523.7
울산,60m²~85m²,2015,10,10032.0
대전,102m²~,2024,3,30851.7
대전,60m²~85m²,2017,6,8860.5
부산,102m²~,2015,10,11550.0
제주,102m²~,2018,12,9741.6
대전,85m²~102m²,2021,3,
서울,60m²,2017,6,21318.0
경기,102m²~,2022,2,15490.2
경남,85m²~102m²,2022,5,15302.1
경남,85m²~102m²,2017,12,9616.2
광주,85m²~102m²,2016,4,9088.2
세종,60m²~85m²,2017,12,10441.2
대전,102m²~,2018,6,
인천,60m²,2017,7,10797.6
인천,85m²~102m²,2017,11,11368.5
충남,85m²~102m²,2023,8,13229.7
전남,모든면적,2017,6,7085.099999999999
대전,모든면적,2020,8,10982.4
충북,102m²~,2022,6,10695.3
제주,60m²,2016,5,9414.9
울산,102m²~,2020,1,
제주,60m²,2016,6,9414.9
서울,102m²~,2018,11,24258.3
제주,102m²~,2017,8,15840.0
인천,60m²,2016,2,10982.4
경북,60m²~85m²,2020,5,8784.6
세종,60m²~85m²,2020,12,
제주,모든면적,2018,9,11002.2
서울,60m²~85m²,2023,3,29643.9
충북,60m²~85m²,2023,10,10850.4
인천,85m²~102m²,2017,5,11193.6
강원,60m²~85m²,2018,10,7781.4
강원,102m²~,2021,7,10906.5
충남,60m²~85m²,2021,12,9649.2
경남,60m²,2018,4,9035.4
부산,60m²~85m²,2024,8,22030.8
대구,102m²~,2019,2,13421.1
충북,102m²~,2018,10,8972.699999999999
전북,60m²~85m²,2018,5,7590.0
세종,모든면적,2017,1,8926.5
세종,모든면적,2017,4,9005.699999999999
충남,85m²~102m²,2023,9,13229.7
전남,60m²~85m²,2016,9,6487.799999999999
서울,102m²~,2024,2,45408.0
전북,85m²~102m²,2016,6,7487.7
세종,모든면적,2021,12,12338.7
충남,85m²~102m²,2016,8,8626.199999999999
강원,60m²,2023,8,11635.8
충북,모든면적,2024,1,11540.1
대전,102m²~,2020,7,
부산,60m²~85m²,2020,11,13530.0
울산,60m²~85m²,2019,5,
충남,60m²,2018,3,7989.299999999999
대전,60m²~85m²,2022,2,13233.0
경남,102m²~,2017,7,9325.8
광주,85m²~102m²,2018,5,
대구,85m²~102m²,2024,4,
경북,60m²~85m²,2021,7,10553.4
경남,85m²~102m²,2016,1,9652.5
경기,102m²~,2016,10,13922.7
경기,60m²,2021,1,13384.8
강원,85m²~102m²,2017,10,6639.599999999999
전북,모든면적,2024,3,12487.2
강원,102m²~,2020,4,13886.4
강원,모든면적,2020,10,10322.4
서울,60m²,2024,2,37560.6
부산,60m²,2021,11,15589.2
